"","Anonym_Enfant","Arnaud_Adelson","Arnaud_Bal","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Diderot_Jacques","Diderot_Neveu","Diderot_Religieuse","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Dulaurens_Compere","Dulaurens_Imirce","Duvernet_Devotions","Duvernet_Retraite","Florian_Estelle","Florian_Galatee","Genlis_Emigres","Genlis_Meres","Lagrave_Sophie","Lagrave_Zabeth","Lesuire_Aventurier","Lesuire_Crime","Louvet_Annee","Louvet_Fin","Marmontel_Belisaire","Marmontel_Contes","Marmontel_Dejeunes","Mirabeau_Conversion","Mirabeau_Rideau","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Etourdi","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Sade_120","Sade_Aline","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Tressan_Jehan","Tressan_Prince","Voltaire_Amabed","Voltaire_Candide","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Princesse"
"Anonym_Enfant",0,1.09182147902149,1.06809013831287,0.887147462827925,1.07371491719854,0.959907030472895,1.08253898412848,1.16897904817367,1.22502751253475,1.0885182820404,1.04806949637198,1.03956219547139,1.17778936571273,0.92944756941297,0.98989875146801,1.07741222612129,0.99706926372955,1.03671472365879,1.05517753245154,0.914405651849091,1.05363348454266,1.01236914582489,1.02209847645297,0.971187940461636,0.998856023194769,1.02690681214098,0.998818265704381,0.917822124110812,0.828805983414581,1.00975654270939,0.89515001589775,0.999594364721184,1.27585799275656,1.25732309711847,0.945395611208483,0.904497062286855,0.777963500625285,0.983083072808856,0.968859460727845,0.881863560696766,0.845651542398078,0.891520695011034,0.675281410622676,0.926730183796436,0.73878150718113,1.19577842125115,1.17636497396772,0.861131987557314,0.86570276457684,1.20146973031004,0.974722523148291,1.0474708900043,1.20470035710886,0.962795808659896,0.921744477062505,1.13831172856006,0.960360577686589,1.09875507743403,1.09678609793093,1.14033601981203,1.16722191243297,1.07806837042545,1.00370165755429
"Arnaud_Adelson",1.09182147902149,0,0.721394821069795,0.904951400296183,0.841942562820364,0.845927229279477,1.0457385130228,1.11950350344446,1.15876935159592,1.18506457255944,1.04448340816322,1.121284916717,1.15632656801558,1.00975175024445,0.889007235512312,0.819081007092953,0.949820980108138,0.74622270768357,1.12083197809774,1.09456779622783,1.12228314301145,1.10882914640988,0.792115245175805,0.836747517807415,1.12988891819238,0.945112816966011,0.847448100434997,0.970192096237929,1.01998302504213,0.989385232366203,1.0640699451957,0.971211510985714,0.890931184226997,0.83525979442899,0.963436257372762,0.953554650415581,1.04916208662699,1.11860034515151,1.06530497008062,0.974020955219154,1.07993954450228,1.07850624567285,1.10815849902101,1.12928166081478,1.18469277185,0.992147966815581,1.0475705232989,1.00587323734558,1.19748205924645,0.901307787470063,0.947909743032352,0.898543842237363,0.997375474164363,1.02346942989061,0.908804071025194,1.09267473824767,1.18132193610163,1.14057452897201,1.20476808832921,1.04621207633795,1.0924153411868,1.15011163565789,1.12517664011074
"Arnaud_Bal",1.06809013831287,0.721394821069795,0,1.04420847172907,0.975301433956589,0.992085716971442,1.0586700608308,1.09233431474126,1.08986392190411,1.11678568182484,1.0161658473895,1.05366368167985,1.09666199657768,1.11097967260973,0.972476744870864,0.990573872530427,1.05570858589439,0.942053024693238,1.12401516234774,0.975642123052804,1.07308883252906,1.03521975393355,0.928343325645264,0.945267646660558,1.17828728890636,1.02722703334042,0.880294616811821,0.965432165319888,1.08206424422959,1.06735646249247,0.997127722749415,0.923831372036963,0.99804533369218,0.791887113472019,1.0618930778759,0.913843886222575,0.922112338496944,1.00743793745377,0.971513830799044,0.887404255783864,0.945915803469126,1.04546366561922,1.10949413983457,1.05805033003717,1.05877667937025,0.973015265881065,1.05267031581477,0.968045767807593,1.06368309846491,1.02081291600225,1.05942466125571,1.02786222227894,0.987052025220628,0.979487163748612,0.962080312714945,1.1102832223777,1.14691621868488,1.11592124105218,1.09270718181676,1.00934868716852,1.10963161305634,1.0996419295221,1.1175750262052
"Cazotte_Diable",0.887147462827925,0.904951400296183,1.04420847172907,0,0.720188012469527,0.665044809504647,0.998820159120331,1.0671761011575,1.09793985018378,1.06049201438429,1.06708001488868,1.04380177945739,1.02763679868051,0.915788620321207,1.09538085647462,1.01210986250921,1.00850937977646,0.956683920376829,1.01622796541523,1.05821920524152,1.09972547103701,1.09461684547499,1.01806575824425,0.964947882648899,1.07659458811412,0.992380663575068,0.919295204131852,1.04356078361521,0.790125776086778,0.890715395836408,0.958286165848087,1.03639237988645,1.07315453558716,1.03391903088706,0.999671543054951,0.933649243708676,0.946103975491997,1.02348789396471,0.964090327576492,0.919083151848591,0.949646235796049,0.983037484378987,0.88076923069842,1.11185028223376,1.06389191647571,1.03661454225607,1.05127812268126,1.0010779407943,1.1242102395164,0.994064207517871,0.944570214897825,0.941900033374683,1.07563480521437,1.01576767589289,1.0702658572145,1.06875236105632,1.15401416281975,1.10708492356273,1.19455493656592,1.15534465007426,1.11689142523227,1.11147375274752,1.11836771438359
"Cazotte_Honneur",1.07371491719854,0.841942562820364,0.975301433956589,0.720188012469527,0,0.647658488830609,1.08606703921198,1.02153725372909,1.09167392331677,1.16536890055883,1.08327150116607,1.06206795216641,1.05291149971953,1.04431871238325,1.00093608645672,0.928411340511966,0.983362479144682,0.898998015029873,1.08122088647499,1.08584889256465,1.01240730362811,1.02330443945535,0.928851238936871,0.971623909008003,1.07099224902402,0.948208243884622,0.969690924549054,0.99027053154571,1.01374778771287,0.991873122285877,1.07085421056469,1.03847037715901,0.945855060728387,0.974510048310899,1.05400647693246,1.00905655156253,1.0317484158755,0.907831977416518,1.01686211725568,0.983737146480903,0.996096698860205,0.971452031421425,1.13433201253108,1.07268762999222,1.14027163632871,1.01623724462409,1.0546917842735,1.15272205223734,1.09263903785516,0.986669349586545,1.01420348075728,0.986690807352974,0.954018741730615,0.929495585793336,0.950897644973307,1.06889298593014,1.16475459482544,1.09773893974723,1.14212218557713,1.07500944811646,1.09171928624981,1.10673698617944,1.11385049014812
"Cazotte_Ollivier",0.959907030472895,0.845927229279477,0.992085716971442,0.665044809504647,0.647658488830609,0,1.22412656757545,1.02632002677964,1.14268265468127,1.24575742283293,1.0004609766651,0.943392074074803,0.957140766276063,1.05781093856954,1.13655551771256,0.948898639468206,0.974975529028336,0.868970182952286,0.96267523079001,1.03782546243872,0.994647700203877,1.03615720027738,0.859582363299324,0.909517740270158,1.25415022662702,1.13555332347687,1.04644766479937,1.11128540619902,0.950231071324873,1.05242992351386,1.0996799559659,1.13030610327192,0.893206026734867,0.994264521094507,1.09285837081482,0.950525123516565,1.05533615791335,0.860161122003713,1.04217480776488,1.02591666914114,0.971128847578552,0.99412045599729,0.987886373249896,0.97625673565323,1.12173523388081,1.14811189455892,1.15999287563062,1.25009900198564,1.00254002478132,1.03984929293914,1.01616454229944,0.970032870951844,1.06489013432269,0.889611326100977,0.829928676164322,1.06008447009005,1.01569815772235,1.08791375118084,1.11702039911247,1.05281514280549,1.06478691082744,1.04356567577358,0.991200202231705
"Charriere_Caliste",1.08253898412848,1.0457385130228,1.0586700608308,0.998820159120331,1.08606703921198,1.22412656757545,0,0.774217138899534,0.676728068127727,0.692051995554319,0.889677627620316,1.0735525041959,1.03473849069527,0.86167497241375,0.932594573087147,1.04557006570327,1.03490881764656,1.08590511776102,1.11051461406045,1.18691961606617,1.10499567844562,1.08281585142397,1.09484605509479,1.0415233645881,0.825105426326056,0.897651363737022,0.93764038558606,0.892842708311979,0.971270115822981,0.99596207656362,0.965780196831313,0.916661685076775,1.15671239509417,0.982050586389748,0.919613948602473,1.22929994531816,0.981549031178581,1.11485120198246,0.995092374885909,0.975450230788775,0.892246253834384,0.934305267127819,1.06192163430105,1.10691957196021,1.07220551153176,0.976881586395078,0.912122502663494,0.755584018599536,1.14006418013372,1.03590184341393,0.992510529844885,1.11935512968951,1.17006447458124,1.07435780265788,1.11856366066049,1.09587611901584,1.09798566555675,1.03313845972884,1.07225350722865,1.07777190990564,1.10718567305654,1.07711577080187,1.10388964904866
"Charriere_Femmes",1.16897904817367,1.11950350344446,1.09233431474126,1.0671761011575,1.02153725372909,1.02632002677964,0.774217138899534,0,0.63626316475994,0.775932157778239,0.915845553006534,0.907854916300045,0.835913651205305,0.985865693835599,1.04106937532876,1.07637037743994,1.06916642112788,1.12609518589177,1.02515399355672,1.12630115221566,0.960027351251119,1.03834470464621,1.11491543113761,1.12162509871677,0.944311711727258,0.987879229325702,1.05313239480363,1.01367626056096,1.15145598340229,1.05684446713055,1.02680371780628,0.87652630437633,0.974522094242335,0.944461370582611,1.07949751437949,1.1082548549692,1.15439279921399,0.956415375193948,0.990248763919925,1.05544209588415,0.961371712423493,0.980333602367515,1.07006125339869,1.01431890286566,1.12030734482031,0.922072349830328,0.915221944841495,1.10459856998734,1.05707397470826,0.960307345989153,1.07865955696149,1.0746484055193,0.928058670963783,1.10899732052599,1.17080080757877,1.02617421847691,0.972798234415054,0.979630796144396,0.944709317247083,1.00373213409661,1.05415434507936,0.957531117964991,1.06260747402101
"Charriere_Lausanne",1.22502751253475,1.15876935159592,1.08986392190411,1.09793985018378,1.09167392331677,1.14268265468127,0.676728068127727,0.63626316475994,0,0.605619818340751,0.918058059937054,0.900465239385694,0.807573736899589,0.944825217343831,1.08121669954871,1.12552221615116,1.13857377870064,1.21452049167706,1.06784391026058,1.09592689581904,0.948177195452716,1.02196292220875,1.18828632740995,1.18441457072028,0.84045509650164,0.979218947108416,0.988747361127159,0.989041604528848,1.1746680652892,1.03518732679511,0.978926908302609,0.947228003958846,1.04536114407341,0.944542376789053,1.05762597511805,1.08229399971013,1.13272730609701,0.977409570995191,1.05114870309461,1.05038240809596,1.03120067276238,1.04498707353883,1.08341465721205,1.00049579453942,1.07987138852278,0.794817361376396,0.813800938248766,0.989485324524113,1.07082616334208,0.992842776223295,1.13358474385308,1.10016236286233,0.970247263857041,1.12562756898298,1.23803882383959,0.974659724229042,1.03188986129201,0.975993128445938,0.931567535331797,1.02402674874849,0.992460690690911,0.981852670981874,1.08750774531099
"Charriere_Neuchateloises",1.0885182820404,1.18506457255944,1.11678568182484,1.06049201438429,1.16536890055883,1.24575742283293,0.692051995554319,0.775932157778239,0.605619818340751,0,0.985017755936887,0.908600288151272,0.90289617809531,0.885310517834362,1.07907028660735,1.12050894853939,1.08765798193544,1.16315432399402,1.13013175899721,1.13138779371696,0.985242849016449,1.08385644444452,1.18274650317708,1.12873443272577,0.75150959410438,0.948781688281492,0.871936176443497,1.01393624565892,1.06794503084651,0.852748469956136,0.911163071323528,0.844089792780536,1.1817011121584,1.06458222892411,0.985168021351213,1.06869318549007,1.04953764063328,0.96676533184572,0.961325855767224,1.07492618920138,1.03566237238818,1.00414087949163,1.05392639219019,1.07505569468191,1.00800899113906,0.767503723873696,0.753360863538194,0.907343999102769,1.06525816513827,1.07772936277396,1.0992330440531,1.15220882690057,1.07695314569307,1.15843535760356,1.2471614257923,0.911244219865625,1.03579211538249,0.995265635749461,1.01958087609474,1.03682338402403,1.05577368294174,1.02629644742167,1.11611224526862
"Charriere_Noble",1.04806949637198,1.04448340816322,1.0161658473895,1.06708001488868,1.08327150116607,1.0004609766651,0.889677627620316,0.915845553006534,0.918058059937054,0.985017755936887,0,1.0740515165442,1.04863489208444,1.00302581704924,1.0223727824486,1.05475689081502,1.0578399988996,1.07344884541817,1.07838696723035,1.03931869469225,1.03238348170956,0.991713976065953,1.01017187624787,1.01136603084135,1.0194264312235,1.03736448764601,1.05282730476276,0.884744252882544,1.03418477199977,1.09536761142303,1.02297197987269,1.05966504709011,1.06963038731783,0.94763671649296,0.983146696149481,1.10525484613076,1.04400159451418,1.08843447712977,1.04121441067447,0.995211677237867,0.979835121031366,1.02251576901761,1.02523617586919,0.962088010011435,1.02239770601622,1.08290016708837,1.05361012931737,0.930710760528515,1.01982693930656,1.13217306106537,1.10728529682468,1.1449700584416,1.15638183963963,0.882058354714467,0.938282563403643,1.09262193174269,0.992002432271542,1.04232570811921,1.09785610044228,0.913843492194928,1.07750113498344,1.0158132762965,0.960297114554746
"Diderot_Jacques",1.03956219547139,1.121284916717,1.05366368167985,1.04380177945739,1.06206795216641,0.943392074074803,1.0735525041959,0.907854916300045,0.900465239385694,0.908600288151272,1.0740515165442,0,0.604762582670588,0.765283401674238,1.09299899711717,0.986203637641305,0.970673452357007,1.0785094954367,0.99490369598249,0.970975905662811,0.86725782086548,0.997195887019104,1.15294215286539,1.08711401677437,1.11374394102863,1.18078834186476,1.08407051376308,1.0477026799023,1.18449762926843,1.06699261091312,0.866135686685137,0.907164449532082,1.05189280286995,1.02897699792187,1.0225349703249,0.898300921111228,1.15666268788272,0.906585583741601,1.0459124132892,1.22564536502558,1.13549876866284,1.09408223712047,0.962337439248473,0.923256341964119,0.925275549763861,1.01962126115961,0.957808816895056,1.10086841308553,0.968588101442569,1.13319426550225,1.1170840267921,1.11097139136624,0.9966048756375,1.15880888902142,1.14625927288716,0.968074827982505,0.874513149169566,1.00664114586331,0.939732262715701,0.959152067731722,0.972804123150908,0.929377086960465,1.01959254641768
"Diderot_Neveu",1.17778936571273,1.15632656801558,1.09666199657768,1.02763679868051,1.05291149971953,0.957140766276063,1.03473849069527,0.835913651205305,0.807573736899589,0.90289617809531,1.04863489208444,0.604762582670588,0,0.837293755222736,1.1714382105979,1.05171607310974,1.06427252419007,1.1327278397099,0.940422285803757,1.00339092363687,0.871567550593988,0.983252619530047,1.14458523955243,1.16931966316532,1.11544826043082,1.152884387022,1.13057208520428,1.17237108559018,1.16687039287431,1.0682407632406,1.00368115001578,0.996337508886029,0.857939057702627,0.917001985507605,1.05692502222552,0.902153096160987,1.21007181014245,0.893465682491106,1.06299706056786,1.16293467151543,1.1368128587972,1.11040968854935,1.05311480775684,0.915567046275825,1.05920407658345,0.984885305431356,0.976643160136993,1.20516826219799,0.980615117667039,1.00149124858512,1.11703089345548,1.0456933138333,0.862510524749701,1.17923531500209,1.2200335776964,0.913146316223328,0.904445532522198,0.93366300098821,0.812118274521137,0.983577120442782,0.838667437184352,0.827021504774112,1.01502113611282
"Diderot_Religieuse",0.92944756941297,1.00975175024445,1.11097967260973,0.915788620321207,1.04431871238325,1.05781093856954,0.86167497241375,0.985865693835599,0.944825217343831,0.885310517834362,1.00302581704924,0.765283401674238,0.837293755222736,0,1.0809533077285,1.05598259515108,1.08811908730085,1.0945271766111,1.05111731232662,1.14146829161147,1.00711818667478,1.01602998065711,1.09651931103331,0.988578956950732,1.00583994529266,1.03756051387978,1.01442005279639,0.896436047122772,0.898872111198852,1.01196176563308,0.858376398347225,0.915333134905447,1.09041051263595,0.990012166403705,0.877556791000913,1.02597076789371,0.98023001802931,1.1299040368305,1.05038396405105,0.995613206138601,1.06028307669944,1.08980541038306,0.833372907929233,1.15243193183518,0.989419778877953,1.09182474606252,1.0167015738189,0.869595850911922,1.08148225861558,1.08029524889655,1.0430057347285,1.05006344206562,1.11387299404107,1.12396773768302,1.10117625844352,1.08889573962907,1.02816182748073,0.99057438374138,1.11169017176143,1.05134154966335,0.999698342716789,1.04909976641682,1.09461051701317
"Ducray_Cinquante",0.98989875146801,0.889007235512312,0.972476744870864,1.09538085647462,1.00093608645672,1.13655551771256,0.932594573087147,1.04106937532876,1.08121669954871,1.07907028660735,1.0223727824486,1.09299899711717,1.1714382105979,1.0809533077285,0,0.584941319620821,0.564337752634835,0.597810226552777,1.22333137486746,1.0558709593989,1.06894681517846,1.08198513429625,0.901734981851495,0.931313924212453,0.888955159023022,0.877112016999284,0.861765917396159,0.807500629603331,1.03610930152394,0.932244331619565,0.92414578078225,0.86534768992817,1.06015152419154,0.84929451913985,0.956901748727715,1.03214930177711,1.08072541811467,1.05222654819061,0.964473724196322,0.992884672133951,1.01398207770045,0.973428064565328,1.08180327566094,1.10861400331931,1.10042396155652,0.913641051246824,0.951284172327175,0.898491412973886,1.18191543607607,0.993028233362948,1.01855849478364,1.11349899707728,1.05055876685384,1.06961771893966,1.06772765838621,1.12871964707998,1.20576542728812,1.11750884750203,1.16220057788082,1.09514973791448,1.16667918300443,1.19521091870597,1.20132286156621
"Ducray_Coelina",1.07741222612129,0.819081007092953,0.990573872530427,1.01210986250921,0.928411340511966,0.948898639468206,1.04557006570327,1.07637037743994,1.12552221615116,1.12050894853939,1.05475689081502,0.986203637641305,1.05171607310974,1.05598259515108,0.584941319620821,0,0.570994568662597,0.538418732753368,1.12505154824135,1.08647426993834,1.08042962789301,1.05702956726867,0.84562925989299,0.895702967762017,1.02700602091091,0.986241618826424,0.932638981653009,0.930917793682576,1.02099827855192,0.905681120800999,0.936026204763182,0.872518688736389,0.963364720745097,0.980451448163467,0.99946835119097,1.02945100271602,1.13188807058486,1.04350243166449,1.04368364593291,1.13756126587866,1.13206223336429,1.09017776363912,1.0773557710665,1.11524434508565,1.13055527665047,0.967303927407029,0.981761036646332,1.06645939737786,1.14200344860114,0.917570289679279,0.983538293534086,1.00967915079233,1.01228591949675,1.14488833595067,1.05730108501543,1.03218310751988,1.12867753840631,1.08445914826068,1.12228205408375,1.083514041518,1.05536852592209,1.13527952052549,1.14757156714011
"Ducray_Soirees",0.99706926372955,0.949820980108138,1.05570858589439,1.00850937977646,0.983362479144682,0.974975529028336,1.03490881764656,1.06916642112788,1.13857377870064,1.08765798193544,1.0578399988996,0.970673452357007,1.06427252419007,1.08811908730085,0.564337752634835,0.570994568662597,0,0.559424898321408,1.08163190548061,1.03193504479928,1.06781879220097,1.02871140126989,0.903556542274399,0.9077301586847,0.909982639606401,0.996511527007408,0.970792129085454,0.896208973307895,1.04156580089428,0.912656733327888,0.917851093357818,0.90696987596346,1.0224144105144,1.02438594554219,0.998042236404024,1.01402742769873,1.1070349783009,1.01358312276882,1.06244252440696,1.1010074034865,1.07457239957067,1.04127451722202,1.00807577695516,1.05346251719162,1.06053394194069,0.929857050928264,0.926076104752857,1.02706852235103,1.05455602264091,1.02094726798645,0.999197554427616,1.07283833278393,1.06109183761461,1.1066240039702,1.0539144699506,1.07743783191672,1.1132284732614,1.11423531480833,1.09873213455255,1.0528202415503,1.09103911364653,1.17536687740113,1.12596642278954
"Ducray_Victor",1.03671472365879,0.74622270768357,0.942053024693238,0.956683920376829,0.898998015029873,0.868970182952286,1.08590511776102,1.12609518589177,1.21452049167706,1.16315432399402,1.07344884541817,1.0785094954367,1.1327278397099,1.0945271766111,0.597810226552777,0.538418732753368,0.559424898321408,0,1.11703502015316,1.08148006804767,1.11658238748422,1.07929050313689,0.761936800563218,0.823427179691604,1.03697754064219,0.944677265983918,0.857672880036566,0.940715374944978,0.977733542353474,0.886449490887293,0.931865194780722,0.874154800286943,0.937325982771383,0.953706915155838,1.02579384617031,1.01349330061008,1.07612989863013,1.04231547816887,1.02266362810682,1.0651710465725,1.08110740287786,1.08103698340533,1.0852324209073,1.15365448304409,1.1432583338825,0.997518774536866,1.03507957210636,1.04334731390491,1.16061083593921,0.899549416330891,0.920699814055126,0.955059363668186,1.03645824415403,1.09860540315663,0.97588134062968,1.06789373969557,1.19773889796283,1.12784808880097,1.2249397669824,1.12737534979933,1.09754426156831,1.20420600359373,1.16232311285316
"Dulaurens_Compere",1.05517753245154,1.12083197809774,1.12401516234774,1.01622796541523,1.08122088647499,0.96267523079001,1.11051461406045,1.02515399355672,1.06784391026058,1.13013175899721,1.07838696723035,0.99490369598249,0.940422285803757,1.05111731232662,1.22333137486746,1.12505154824135,1.08163190548061,1.11703502015316,0,0.887690743115451,0.954805332049218,0.957261098315353,1.07954900911539,1.12145826554637,1.07740618517399,1.06984430011803,1.20985975809384,1.20770644489267,1.00765094779638,1.1242263593698,1.24271905256532,1.25038700218367,0.862911329663363,1.19957807744418,1.13594294555733,1.13664851406949,0.969241677480942,1.00792801476934,1.04984259523654,0.961214190370365,0.998158616902504,0.979414648702572,0.979854058596626,0.905680653893911,1.05685494712485,0.980294328909271,1.01913390720084,1.12215571787917,0.916124189815846,0.828641294686243,0.892774914392125,0.839627937147048,0.848554845884728,1.00603412369988,1.00015518682082,0.859791936638039,0.853179226676621,0.85460670137828,0.765085566546698,0.913149873640256,0.768443970239337,0.849514796763296,0.864645859080265
"Dulaurens_Imirce",0.914405651849091,1.09456779622783,0.975642123052804,1.05821920524152,1.08584889256465,1.03782546243872,1.18691961606617,1.12630115221566,1.09592689581904,1.13138779371696,1.03931869469225,0.970975905662811,1.00339092363687,1.14146829161147,1.0558709593989,1.08647426993834,1.03193504479928,1.08148006804767,0.887690743115451,0,0.980054102502543,0.954271637671996,1.05043202716681,1.02026086076316,1.05378420280838,1.07503594165049,1.08684000423867,1.069513663564,0.979237807321382,1.01654980755996,1.03735226037836,1.15929111655126,1.04681415581188,1.06115436470708,1.04288410631338,0.883688848095695,0.917929657550778,1.06008160398203,1.09658928512324,0.986769216754492,1.09995429251095,1.15444524287838,0.854761168373067,0.859933905901659,0.867587595158228,1.02306078460689,1.0902579837548,1.00625047325533,0.956858681175499,1.11914633097533,1.12596228562457,1.08103621108805,1.00451152295467,1.02051768973639,1.01960313784994,0.858381565683499,0.843285968533889,0.946319732899317,0.813849692188437,0.917814302042607,0.942518422666667,0.9647580491493,0.897148265560487
